i am older than him .,je suis plus vieux que lui .
you are not japanese .,vous n etes pas japonais .
i m as old as you .,je suis aussi agee que vous .
you re cuter than mary .,vous etes plus jolie que mary .
you re a man now .,vous etes desormais un homme .
they re looking for you .,elles sont en train de te chercher .
he s not in our group .,il ne fait pas partie de notre groupe .
we re surprised .,nous sommes surpris .
we re done .,nous avons fini .
he is the chief of my department .,il est le chef de mon departement .
you re funny .,vous etes marrante .
he s a smooth talker .,c est un beau parleur .
you re very wise .,vous etes fort sage .
he s a good boy .,c est un bon garcon .
you re through .,vous en avez termine .
i m too tired to walk any longer .,je suis trop fatigue pour marcher plus longtemps .
i m not happy .,je ne suis pas content .
he s in good physical condition .,il est en bonne condition physique .
i m good at skiing .,je suis bon en ski .
you re not fooling anybody .,tu ne trompes personne .
he s getting cold feet .,il commence a avoir les jetons .
i am baking bread .,je suis en train de cuire du pain .
you re fashionable .,vous etes branches .
you re very emotional .,vous etes tres emotive .
you re scaring the kids .,tu es en train d effrayer les enfants .
i m sort of tired .,je suis en quelque sorte fatiguee .
he s sound asleep .,il dort profondement .
i m impressed with your french .,je suis impressionnee par ton francais .
i m tired of being careful .,j en ai marre d etre prudent .
she is a wonderful woman .,c est une femme magnifique .
you re quiet .,tu es calme .
i am from france .,je viens de france .
he s drunk .,il est soul .
i m not one of them .,je ne fais pas partie de leur groupe .
you re adorable .,tu es adorable .
i am tired .,je suis creve .
you re not very good .,vous n etes pas tres bonnes .
i am tired .,je suis fatigue !
you re funny .,vous etes marrant .
he s a real man .,c est un vrai mec .
i m going to teach you some karate .,je vais t enseigner un peu de karate .
i m in bed .,je suis alite .
he s in big trouble .,il est dans la merde .
he is experienced in valuing antiques .,il est experimente dans l evaluation d antiquites .
you re perfectly right .,tu as parfaitement raison .
you re crafty .,tu es ruse .
i m going to call it a night .,je vais prendre conge pour cette nuit .
he is no ordinary student .,ce n est pas un eleve ordinaire .
i m addicted .,je suis drogue .
she is crying .,elle pleure .
he s somewhere in the park .,il se trouve quelque part dans le parc .
i am leaving japan tomorrow morning .,je quitte le japon demain matin .
you re talented .,vous etes talentueuses .
i am korean .,je suis coreen .
i m not a liar .,je ne suis pas une menteuse .
i m coming right home .,j arrive juste chez moi .
they re not expensive .,ils ne sont pas chers .
they re not dead .,ils ne sont pas morts .
we re grateful .,nous sommes reconnaissants .
we re very grateful .,nous sommes tres reconnaissantes .
he s a frat boy .,il est membre d une fraternite etudiante .
we re giving up .,nous abandonnons .
i m sorry to trouble you .,je suis desole de te poser des problemes .
they re eating high on the hog .,ils menent grand train .
i am sure that you will be satisfied .,je suis sur que vous serez satisfaits .
i m unnecessary here .,je ne suis pas utile ici .
they re cool .,ils sont sympa .
he is liked by everybody .,tout le monde l aime .
he s going to cross the river .,il va traverser la riviere .
you re very funny .,vous etes tres marrant .
i m calm .,je suis calme .
i m sure the children are getting big .,je suis sure que les enfants grandissent .
i m only going to say this once .,je ne le dirai pas deux fois .
he s a professional photographer .,il est photographe professionnel .
he is in poor health .,il est en mauvaise sante .
i m glad you could be here .,je suis contente que vous soyez la .
i m not blushing !,je ne rougis pas !
i m very impressed by your work .,je suis tres impressionne par votre travail .
you are selling him short .,tu le sous estimes .
he s a great kisser .,il embrasse tres bien .
he is the image of his father .,c est le portrait crache de son pere .
he is always finding fault with other people .,il trouve toujours a redire aux autres .
we re going to try .,nous allons essayer .
i m sorry for what i did .,desole de ce que j ai fait .
he is an evil man .,c est un mechant homme .
i m considering resigning .,je reflechis a demissionner .
i m in the mood for something sweet .,je prendrais bien quelque chose de sucre la .
they are all college students .,ce sont tous des etudiants de la fac .
we re unlucky .,nous sommes malchanceux .
you re unbelievably stupid .,vous etes incroyablement stupide .
i m as tall as tom .,je suis aussi grand que tom .
i m all yours .,je suis toute a toi .
i m not really an expert .,je ne suis pas vraiment un expert .
you are early .,vous etes matinale .
i m back in business .,j ai repris le business .
he s buying an old hat .,il achete un vieux chapeau .
i m not coming back home .,je ne vais pas rentrer a la maison .
he is a tennis champion .,c est un champion de tennis .
they re in trouble .,ils sont dans la mouise .
i m driving .,je suis en train de conduire .
we are encouraged to use our imagination .,on nous encourage a utiliser notre imagination .
they re not expensive .,elles ne sont pas onereuses .
i m waiting for my girlfriend .,j attends ma copine .
i m still intimidated by you .,tu m intimides toujours .
you re being silly .,vous etes idiote .
you re the oldest .,c est toi la plus vieille .
we re right here .,nous sommes juste la .
we re confused .,nous sommes perplexes .
i m not sure anymore .,je n en suis plus sure .
i m disappointed and angry .,je suis decu et en colere .
he is the son of a wealthy family .,c est le fils d une riche famille .
she is just a child .,elle n est qu une enfant .
you re depressed aren t you ?,vous etes deprimee n est ce pas ?
they re up to no good .,ils vont faire des conneries .
i m addicted .,je suis accro .
you re very busy .,vous etes fort occupe .
they re not home yet .,elles ne sont pas encore a la maison .
you re always finding fault with me .,tu trouves toujours des reproches a me faire .
they re similar .,elles sont semblables .
you re depressed aren t you ?,vous etes deprimees n est ce pas ?
she is obstinate .,elle est obstinee .
i m not a kid anymore .,je ne suis plus un enfant .
he is full of new ideas .,il est plein de nouvelles idees .
he is about your age .,il a environ votre age .
i m sick of being sick .,j en ai marre d etre malade .
i m not as smart as you .,je ne suis pas aussi malin que toi .
i m going to give tom a bath .,je vais donner un bain a tom .
i m afraid i don t follow .,je crains de ne pas suivre .
i m famous .,je suis connu .
you re too polite .,vous etes trop poli .
you re boring .,vous m ennuyez .
i m not discounting that possibility .,je n ecarte pas cette possibilite .
i m rested .,je suis repose .
i m afraid not .,j ai bien peur que non .
i m not tired yet .,je ne suis pas encore fatiguee .
they re boring .,ils sont ennuyeux .
i m sure i turned off the gas .,je suis certaine d avoir ferme le gaz .
we re all agreed on that .,nous en sommes tous d accord .
he s in pain .,il souffre .
you re finicky .,vous etes tatillon .
she s an independent thinker .,c est un esprit independant .
they re looking for tom .,elles cherchent tom .
i am a very good chess player .,je suis un excellent joueur d echecs .
i m just curious .,je suis juste curieux .
i am delighted to be here .,je suis enchante d etre ici .
i m here to win .,je suis ici pour vaincre .
you re not missing much .,vous ne ratez pas grand chose .
you re unethical .,tu es immoral .
i m not sure i like this .,je ne suis pas sure d aimer ca .
we re so proud of you !,nous sommes tellement fiers de vous !
i m a little out of practice .,je manque un peu de pratique .
i m not afraid of ghosts .,je n ai pas peur des fantomes .
i m anxious to see you .,je suis impatient de te voir .
i m impressed .,je suis impressionnee .
we are arabs .,nous sommes arabes .
he is her friend .,il est son ami .
i m used to getting up early .,j ai l habitude de me lever tot .
you are in my way .,vous etes sur mon chemin .
i m a bit tipsy .,je suis un peu emechee .
we re not so sure .,nous n en sommes pas si sures .
you re wasting my time .,tu gaspilles mon temps .
i m eating here .,je mange ici .
i m too sleepy to drive .,j ai trop sommeil pour conduire .
i m healthy .,je suis en bonne sante .
you re going to love this book .,vous allez adorer ce livre .
they re going to give me an estimate .,ils vont me donner un devis .
we re in love .,nous sommes amoureuses .
they are the ones who want to go .,ce sont celles qui veulent y aller .
he is not altogether wrong .,il n a pas entierement tort .
you re a true friend .,tu es un veritable ami .
he is an utter stranger to me .,il m est totalement inconnu .
i m smarter than you .,je suis plus degourdi que toi .
i m fixing something .,je repare quelque chose .
he is clumsy with his hands .,il est maladroit de ses mains .
i m still waiting for your answer .,j attends toujours ta reponse .
he s a high school student .,il est lyceen .
she is unsociable .,elle est asociale .
i m good at playing the piano .,jouer du piano est mon point fort .
i m going to be a teacher .,je vais etre enseignant .
you re smarter than me .,vous etes plus intelligente que moi .
i m against it .,je suis contre .
i m not at all surprised .,je ne suis pas du tout surprise .
i m looking forward to that .,j en suis impatient .
you are a troublemaker .,tu es un fouteur de merde .
you re not safe there .,tu n y es pas en securite .
she s married to a foreigner .,elle est mariee a un etranger .
we re just starting .,nous ne faisons que commencer .
she is giving a party tonight .,elle donne une fete ce soir .
i m working .,je suis en train de travailler .
he s a bit rough around the edges .,il est un peu rugueux .
you re a jolly good feller .,vous etes un joyeux drille .
i m such an idiot .,je suis un tel idiot .
i m glad you re my friend .,je me rejouis que vous soyez mon ami .
i m going on a trip .,je pars en voyage .
i m no rebel .,je ne suis pas un rebelle .
i m too busy to help him .,je suis trop occupe pour l aider .
i m tidy .,je suis ordonne .
she is really into knitting .,elle est vraiment passionnee de tricot .
i m such a fool .,je suis un tel idiot .
you re not alone anymore .,vous n etes plus seules .
i m a little bit jealous .,je suis un tantinet jalouse .
you re silly .,vous etes idiots .
you are trusted by every one of us .,chacun de nous te fait confiance .
he is said to have died .,on le dit decede .
i m puzzled .,je suis perplexe .
you re so bossy .,tu es tellement autoritaire !
he is to blame for the failure .,il est responsable de l echec .
i m lying .,je suis en train de mentir .
he s a fast walker .,c est un marcheur rapide .
he s from georgia .,il est originaire de georgie .
we re close enough .,nous sommes suffisamment proches .
he s now a college student .,il est maintenant etudiant en faculte .
i m horrible with kids .,je suis terrible avec les enfants .
we re all right now .,nous allons bien maintenant .
you re not tired are you ?,vous n etes pas fatiguees si ?
you re nuts !,tu es fou !
you aren t as short as i am .,vous n etes pas aussi petits que moi .
you re very good .,vous etes tres bonne .
i m not sure .,je n en suis pas certaine .
we re all going home .,nous allons tous chez nous .
i m in boston .,je suis a boston .
i m the middle child of three .,je suis le second de trois enfants .
you are a good person .,tu es un mec bien .
i m drunk .,je suis saoul .
i m very glad to see you again .,je suis tres contente de te revoir .
i m impatient .,je suis impatiente .
she s very susceptible to hypnotic suggestion .,elle est tres receptive a la suggestion hypnotique .
i m going to miss you too .,tu vas aussi me manquer .
i m going to bed .,je vais au lit .
i am the tallest in our class .,je suis le plus grand de notre classe .
i m tired now .,je suis fatigue maintenant .
i m not supposed to drink .,je ne suis pas suppose boire .
i m breaking in my new shoes .,je casse mes nouvelles chaussures .
you re very talented .,vous etes fort talentueux .
you re so picky .,tu es tellement difficile !
you are taller than me .,tu es plus grande que moi .
you re being bossy aren t you ?,tu es autoritaire non ?
they are in the same class .,ils sont dans la meme classe .
you re all set .,vous etes tous prets .
i m very hungry .,j ai une faim de loup .
he is always with me .,il est toujours avec moi .
i m beginning to see a pattern .,je commence a distinguer un schema .
i am just warming up now .,pour l instant je m entraine seulement .
he s the perfect man for you .,c est l homme parfait pour toi .
you are crazy .,tu es fou .
i m not a thief .,je ne suis pas une voleuse .
he is studying at his desk .,il etudie a sa table de travail .
we re unprejudiced .,nous sommes depourvues de prejuges .
i m sorry i hurt you .,je suis desole de vous avoir blessee .
i m at a friend s house .,je suis chez une amie .
you re very kind tom .,tu es tres gentil tom .
they re dragging their heels .,ils trainent les pieds .
they re looking for tom .,ils cherchent tom .
they re dancing .,ils sont en train de danser .
i m sorry if i embarrassed you .,je suis desole si je vous ai embarrasses .
he is interested in music .,il est interesse par la musique .
i m not going to tell you again .,je ne vais pas te le repeter .
i m sorry if i disturbed you .,je suis desole si je t ai derange .
they re right behind you .,elles se trouvent juste derriere vous .
you re no singer .,tu n es pas chanteur .
we re not married .,nous ne sommes pas mariees .
i m going .,je pars maintenant .
he s out now .,il est actuellement a l exterieur .
i m sorry to have disturbed you .,je suis desolee de t avoir derange .
he is trusted by his parents .,ses parents lui font confiance .
he is very eager to go there .,il est tres impatient d y aller .
i m letting you go .,je vous laisse partir .
she is a very good teacher .,elle est un tres bon professeur .
i m sorry i yelled at you .,je suis desolee de vous avoir hurle dessus .
i m not your husband anymore .,je ne suis plus ton mari .
she is sitting on the bench .,elle est assise sur un banc .
i m not a drug addict .,je ne suis pas un drogue .
i m single .,je suis celibataire .
she s a born artist .,elle est une artiste nee .
you are twice as strong as me .,vous etes deux fois plus fortes que moi .
you re good .,vous etes bonne .
we re hot .,nous avons chaud .
you re very clever .,vous etes tres habiles .
i m first .,je suis en premier .
i m not as rich as you are .,je ne suis pas aussi riche que toi .
you re beautiful .,vous etes belle .
she s suffering from a serious disease .,elle souffre d une maladie grave .
i m actually kind of flattered .,je suis en fait plutot flatte .
he s almost as tall as me .,il est presque aussi grand que moi .
i m the one who makes the decisions .,je suis celui qui prend les decisions .
he s writing his diary .,il ecrit son journal .
he is about my size .,il fait a peu pres ma taille .
i m in way over my head .,je perds la tete .
i m going to buy you a watch .,je vais t acheter une montre .
you re very open .,vous etes tres ouverte .
they re in the shower .,ils sont dans la douche .
they are aware of the difficulties .,ils sont conscients des difficultes .
i m going to cook for you .,je vais cuisiner pour toi .
they re up to no good .,ils preparent un mauvais tour .
she is good at swimming .,elle est bonne en natation .
you re not totally blameless .,tu n es pas totalement irreprochable .
i am not eating .,je ne suis pas en train de manger .
they re downstairs .,ils sont en bas .
i m alone .,je suis seule .
i m worn out .,je suis epuise .
you are too sensitive to criticism .,tu es trop sensible a la critique .
i m busy at the moment .,je suis occupe pour le moment .
he is what we call a scholar .,il est ce qu on appelle un lettre .
i m sorry i yelled at you .,je suis desolee de t avoir crie apres .
they are gathering nuts .,ils ramassent des noisettes .
you re out of control .,tu es hors de controle .
you re awesome .,vous etes geniale .
i m good at singing .,je suis bon en chant .
i am an only child .,je suis enfant unique .
i m not surprised .,je ne suis pas surprise .
i m meeting someone for dinner .,je rencontre quelqu un pour dejeuner .
he is a great scientist .,c est un grand scientifique .
i m here aren t i ?,je suis ici n est ce pas ?
you are very brave .,vous etes tres courageux .
i m retired too .,je suis egalement pensionne .
he s just like his grandfather .,il est exactement comme son grand pere .
we re different .,nous sommes differents .
you re in serious danger .,vous etes en grave danger .
she s the most beautiful woman .,c est la plus belle femme .
i m very happy to make your acquaintance .,je suis heureux de vous avoir rencontre .
i m coming right away .,j arrive immediatement .
we are watching .,nous regardons .
you re a very lucky man .,tu as vraiment de la chance .
he s always at home on sundays .,il est toujours chez lui le dimanche .
i m shorter than you .,je suis plus petit que toi .
i m really happy .,je suis vraiment contente .
i am not on call tomorrow .,je ne suis pas de garde demain .
you re a weird kid .,t es un gamin bizarre .
i m starved .,je meurs de faim !
he s thrilled with his new job .,il est enthousiasme par son nouveau travail .
she is convinced of my innocence .,elle est convaincue de mon innocence .
she s wearing a nice hat .,elle porte un chouette chapeau .
you re not a doctor .,vous n etes pas toubib .
i am repairing the washing machine .,je repare le lave linge .
i m somewhat dizzy .,j ai un peu la tete qui tourne .
you re no different .,tu n es pas different .
you re worried aren t you ?,vous etes inquiet n est ce pas ?
you are always complaining .,vous vous plaignez toujours .
they are jealous of our success .,elles sont jalouses de notre succes .
he is constantly complaining .,il est toujours en train de se plaindre .
you re precise .,tu es precise .
she s too loud .,elle parle trop fort .
i m taking a couple of days off .,je prends quelques jours de conge .
i m innocent .,je suis ingenu .
you re very brave .,tu es tres courageux .
you re very busy .,vous etes fort occupees .
i m sorry if i frightened you .,je suis desole si je vous ai effrayes .
i m a patient .,je suis une patiente .
she is teaching us french .,elle nous apprend le francais .
you re very stylish .,vous etes tres elegante .
i m not all that busy .,je ne suis pas si occupe que ca .
we are in a library .,nous sommes dans une bibliotheque .
he is a dj .,il est dj .
you re a mighty good feller .,t es un super bon camarade .
he is able to speak ten languages .,il est capable de parler langues .
she is frightened of thunder .,elle a peur du tonnerre .
they are very big apples .,ce sont de tres grosses pommes .
i m dripping with sweat .,je degouline de sueur .
he s kind of shy .,il est assez timide .
he is studying in the library now .,il etudie a la bibliotheque maintenant .
they are christians .,ils sont chretiens .
you re sleepy .,vous etes endormis .
he s hungry and thirsty .,il a faim et soif .
you are difficult and incorrigible .,tu es difficile et incorrigible .
you re wonderful .,vous etes merveilleux .
he is a danger to society .,il est un danger pour la societe .
you re worried aren t you ?,vous etes soucieux n est ce pas ?
we re all the same .,nous sommes toutes les memes .
they are jealous of us .,ils sont jaloux de nous .
i m eating an apple .,je mange une pomme .
you re out of luck .,ta chance est epuisee .
you are such a sweetheart .,tu es tellement adorable !
he is a pretty great guy .,c est un type assez connu .
he s not going .,il ne s en va pas .
i m glad that you can come .,je me rejouis que vous puissiez venir .
i am calm .,je suis calme .
i m fascinated .,je suis fascinee .
he is sure to come .,il est certain de venir .
they re sending help .,ils envoient de l aide .
we re not convinced yet .,nous n en sommes pas encore convaincues .
they are doctors .,ils sont medecins .
you re very open .,vous etes tres ouverts .
i m tired .,je suis fatigue !
you re rich .,tu es riche .
i m three years younger than you .,je suis trois ans plus jeune que toi .
he s waiting for you at home .,il vous attend chez lui .
i m not at all busy .,je ne suis pas occupe du tout .
you are too critical of others shortcomings .,tu es trop critique des defauts des autres .
he is a gentleman .,c est un gentleman .
you re conscientious .,tu es consciencieux .
she is always neatly dressed .,elle est toujours soigneusement habillee .
we re saved .,nous sommes sauves .
i m not jealous .,je ne suis pas jalouse .
we re all scared .,nous avons tous peur .
i m the youngest child .,je suis la plus jeune enfant .
we re ashamed .,nous avons honte .
he is playing in his room .,il joue dans sa chambre .
you re winning aren t you ?,tu gagnes n est ce pas ?
i m sure i can do better .,je suis certain de pouvoir faire mieux .
i m fairly happy .,je suis plutot content .
i m thrilled .,je suis ravi .
you re the oldest .,tu es le doyen .
you re very wise .,vous etes fort avisees .
you re too loud .,vous etes trop bruyante .
we re expecting a good harvest this year .,la moisson s annonce bonne cette annee .
you re psychic .,tu es voyante .
i m feeling kind of tired .,je me sens un peu fatigue .
he s nervous and easily frightened .,il est nerveux et facilement effraye .
he is always finding fault with others .,il trouve toujours a redire aux autres .
you re not a teenager yet .,vous n etes pas encore adolescent .
i am out of work .,je suis au chomage .
you re unforgettable .,vous etes inoubliables .
they re all nuts .,elles sont toutes dingues .
he is a friendly person .,c est une personne sympathique .
you re still young .,vous etes encore jeune .
i m buying .,je paie .
they re students .,elles sont etudiantes .
he is old enough to drink .,il est assez vieux pour boire .
i m hungover .,j ai la gueule de bois .
he is handsome and clever .,il est beau et intelligent .
you re not easy to find .,vous n etes pas faciles a trouver .
he is a mathematical genius .,c est un mathematicien de genie .
we aren t related .,nous ne sommes pas apparentes .
i m not mean .,je ne suis pas mechante .
we re fighting .,nous sommes en train de nous battre .
he is a clever boy .,c est un garcon intelligent .
we re pulling back .,nous nous retirons .
i m beginning to hate her .,je commence a la detester .
i m glad that makes you happy .,je suis contente que ca te rende heureux .
i m not that drunk .,je ne suis pas si saoul .
we re both witnesses .,nous sommes toutes deux temoins .
you re turning thirty .,tu entres dans la trentaine .
i m tired of all this nagging .,je suis fatigue de toutes ces reflexions .
i m worried about him .,je suis inquiet pour lui .
i m seeing them tonight .,je vais les voir ce soir .
i m not done .,je n en ai pas termine .
i m going to be a teacher .,je vais etre enseignante .
you re going to lose .,tu vas perdre .
i m not tall .,je ne suis pas grande .
she is pigeon toed .,elle a les pieds en dedans .
i m looking forward to receiving your reply .,j ai hate de recevoir ta reponse .
i m free !,je suis libre !
she is no ordinary singer .,c est une chanteuse pas banale .
you re scaring the kids .,tu effraies les enfants .
she is not always happy .,elle n est pas toujours heureuse .
i m as tall as my father .,je suis aussi grand que mon pere .
you re funny .,vous etes marrants .
we re not perfect .,nous ne sommes pas parfaites .
you re the one who planted that tree .,c est vous qui avez plante cet arbre .
you re good .,t es bonne .
i am familiar with this subject .,je suis habitue a ce probleme .
we re getting a new car next month .,nous aurons une nouvelle voiture le mois prochain .
i am growing to hate the girl .,je me mets a detester cette fille .
i am not happy .,je ne suis pas contente .
i m strong .,je suis fort .
he s coming .,il est en train d arriver .
i m fine with it .,ca me va .
you re lucky that you have a job .,tu es chanceux d avoir un travail .
i m very happy to be here .,je suis tres heureux d etre ici .
you re very smart .,vous etes tres sages .
i m used to it .,j y suis habituee .
he is not much of an artist .,il n est pas vraiment un artiste .
i m used to it .,je suis habitue .
we re committed .,nous sommes engagees .
you re a wonderful friend .,vous etes une merveilleuse amie .
they re keeping it under wraps .,ils le tiennent secret .
you re creepy .,vous etes sinistres .
i m crazy about football .,je suis dingue de football .
she is very proud of her daughter .,elle est tres fiere de sa fille .
i m going to leave one night early .,je vais partir une nuit plus tot .
she s not a child .,elle n est pas une enfant .
you re early .,tu viens tot .
he s painting his house .,il est en train de peindre sa maison .
he s skilled at videogames .,il est habile aux jeux video .
i m a beginner too .,je suis egalement un debutant .
you re wrong .,tu es dans l erreur .
we re nearly finished .,nous en avons presque fini .
she isn t lonely now .,elle n est plus seule maintenant .
you re too loud .,tu es trop bruyante .
you aren t my mother .,vous n etes pas ma mere .
you re not yourself today .,vous n etes pas vous meme aujourd hui .
you re in luck .,vous etes veinardes .
he is carrying out experiments in his laboratory .,il entreprend des experiences dans son laboratoire .
we re both wrong .,nous avons toutes deux tort .
they are always short of money .,ils sont toujours a court d argent .
we re not lost .,nous ne sommes pas perdues .
i m eighteen .,j ai dix huit ans .
she s a hottie .,c est une bombe .
i m going to prison .,je vais en prison .
i am in deep water .,je suis en grande difficulte .
i m adding the finishing touches now .,j ajouterai la touche finale .
i m ambitious .,je suis ambitieux .
i m looking for a job .,je cherche un emploi .
i m entitled to my own opinion .,je suis en droit a ma propre opinion .
i m really feeling kind of strange .,je me sens etrange d une certaine maniere .
they re too fat .,ils sont trop gras .
i m farsighted .,je vois loin .
you re not sick .,vous n etes pas malade .
he s about to go .,il est sur le point d y aller .
she is lacking in common sense .,elle manque de sens commun .
we re all prisoners .,nous sommes tous prisonniers .
i m not a doctor but a teacher .,je ne suis pas medecin mais professeur .
she s got such lovely eyes .,elle a de si beaux yeux .
you are absolutely right .,vous avez parfaitement raison .
i m sorry i missed your birthday .,je suis desolee d avoir rate ton anniversaire .
i m no liar .,je ne suis pas un menteur .
i m not eating this .,je ne vais pas manger ca .
i m illiterate .,je suis analphabete .
you re forgiven .,vous etes pardonne .
i m still hungry .,j ai toujours faim .
i m not answering that .,je ne vais pas y repondre .
i m stunned .,je suis sideree .
i am a student of this school .,je suis un etudiant de cette ecole .
i am dying to see her again .,je creve d envie de la revoir .
i m tired of him bawling me out .,j en ai marre qu il m engueule .
i m dying of thirst .,je meurs de soif .
you re too slow .,tu es trop lent .
he s more than likely to come .,il est plus que probable qu il vienne .
you re being paranoid .,vous etes paranoiaque .
she s upset right now .,elle est fachee la .
you re the one who trained me .,vous etes celui qui m a forme .
you are in part responsible for it .,vous en etes en partie responsable .
you re in danger tom .,vous etes en danger tom .
he is well off .,il est riche .
he is sure to pass the exam .,il est sur de reussir l examen .
we re ready for this .,nous y sommes pretes .
they re all on vacation .,elles sont toutes en vacances .
she s a member of a sorority .,elle est membre d une societe d etudiantes .
you re very upset .,vous etes tres contrariees .
i am looking forward to christmas .,j attends noel avec impatience .
they re gone .,elles sont parties .
you re not interrupting anything .,vous n interrompez rien du tout .
he s in prison .,il est en prison .
i m pretty good at math .,je suis plutot bon en maths .
you re joking of course .,vous plaisantez bien sur .
i m easygoing .,je suis facile a vivre .
you re fortunate .,tu as de la chance .
i m going to be your teacher .,je vais etre votre instituteur .
i m not frightened of ghosts .,je n ai pas peur des fantomes .
we re divorced .,nous sommes divorces .
you re reliable .,vous etes fiables .
i m not available .,je suis indisponible .
you re not being rational .,tu n es pas rationnel .
he is very brave .,il est tres courageux .
he is a recognized authority on the subject .,il est une autorite reconnue sur le sujet .
i m looking for my cellphone .,je cherche mon telephone mobile .
you re not going are you ?,tu n y vas pas si ?
you re psyched .,t es remontee .
i m a farmer .,je suis agriculteur .
we re astonished .,nous sommes stupefaits .
she s a successful businesswoman .,c est une femme d affaire a succes .
she is very annoyed with me .,elle est tres fachee apres moi .
she is getting prettier .,elle devient de plus en plus belle .
we re still involved .,nous sommes toujours impliques .
i m taking tomorrow afternoon off .,je prends mon apres midi demain .
i m pleased with their performance .,je suis satisfaite de leur performance .
they are about to start .,ils sont sur le point de commencer .
you re very skeptical .,tu es fort sceptique .
we are classmates .,nous sommes camarades de classe .
she is a doctor .,elle est medecin .
she is very afraid of the dark .,elle a tres peur du noir .
i m used to it .,j y suis accoutume .
he s away on vacation .,il est absent en conges .
he s my best friend .,c est mon meilleur ami .
you re very emotional .,vous etes fort emotives .
i m glad you brought that up .,je suis ravi que tu aies souleve cela .
he is thinking it over .,il est en train d y reflechir .
i m gullible .,je suis credule .
i m a farmer .,je suis fermier .
you re stuck .,vous etes plantes .
we re still involved .,nous sommes toujours engagees .
he s three years older than me .,il a trois ans de plus que moi .
she isn t kind to him .,elle n est pas gentille avec lui .
they re very smart .,ils sont tres intelligents .
i m depending on you .,je depends de toi .
i m afraid of wild animals .,je crains les animaux sauvages .
he s really quick .,il est vraiment rapide .
i am ready .,je suis pret .
we are overfishing the world s oceans .,nous sur pechons dans les oceans du monde .
he s such a cold fish .,il est si distant .
i am studying now .,je suis en train d etudier .
he is used to making speeches .,il a l habitude de realiser des discours .
you re all happy .,vous etes tous satisfaits .
you re not a suspect .,vous ne comptez pas au nombre des suspects .
we re working at the moment .,nous travaillons a l instant .
i m safe .,je suis en securite .
i m just a regular office worker .,je suis juste un employe de bureau normal .
he is taller than his brother .,il est plus grand que son frere .
he s out of town .,il n est pas en ville .
you re very funny .,vous etes tres marrantes .
you are good .,tu es bonne .
you re my only real friend .,tu es mon seul veritable ami .
i am glad to see her .,je suis content de la voir .
i m not good with names .,j ai du mal avec les noms .
she is certain to come on time .,elle est certaine de venir a temps .
i m ugly .,je suis laid .
we re available .,nous sommes disponibles .
they re part time employees .,ce sont des employes a temps partiel .
i m going back to college .,je retourne en fac .
he is what we call a pioneer .,c est que nous appelons un pionnier .
she s wearing eye shadow .,elle porte de l ombre a paupiere .
you re very brave .,vous etes tres courageuses .
we re quite alone .,nous sommes tout a fait seuls .
you are responsible for this accident .,tu es responsable de cet accident .
you re powerful .,vous etes puissant .
i m glad to see you again .,je suis content de vous revoir .
you re overworked .,tu es surmenee .
we re very close .,nous sommes tres proches .
you re kind of cute .,vous etes mignonnes dans votre genre .
i m not to be disturbed .,qu on ne me derange pas !
i m pleased with their performance .,je suis satisfaite de leur prestation .
we re fasting .,nous faisons la diete .
he s just a liar .,ce n est qu un menteur .
you re the teacher .,tu es le professeur .
you re talented .,tu es talentueux .
i m on a paid vacation .,je suis en conges payes .
they re in the hot tub .,ils sont dans le baquet d eau chaude .
you re so sweet .,vous etes si gentils !
i m friends with all those guys .,je suis ami avec tous ces gars la .
i m waiting for a train .,j attends un train .
you re quite smart .,tu es fort maline .
i m going back to the office .,je retourne au bureau .
you re rude .,tu es grossier .
he s my partner .,c est mon partenaire .
you are not to leave this room .,vous ne devez pas quitter cette piece .
i m surprised you didn t know that .,je suis surprise que vous ignoriez cela .
i m not thirsty right now .,je n ai pas soif pour le moment .
they re not going to catch us .,ils ne vont pas nous attraper .
you re loaded .,t es plein de fric .
i m your neighbor .,je suis votre voisin .
they re right behind you .,elles sont juste derriere vous .
he s fluent in japanese .,il parle couramment le japonais .
he is such a lazy fellow .,c est une personne terriblement faineante .
i m normal .,je suis normale .
he s raking it in .,il prend plein d oseille .
he is actually not the manager .,en realite il n est pas l impresario .
i am used to living alone .,je suis habituee a vivre seule .
i m too sleepy to eat .,j ai trop sommeil pour manger .
you re outgoing .,tu es sociable .
i m careful not to spend too much .,je fais attention a ne pas trop depenser .
she is collecting material for a book .,elle rassemble du materiel pour un livre .
we re all wasting time .,nous perdons tous du temps .
she s wearing a hat .,elle porte un chapeau .
we are expecting the publication of his book .,nous attendons la publication de son ouvrage .
you re still green .,tu es encore un bleu .
i m relieved to hear that .,je suis soulage d entendre cela .
we re successful .,nous connaissons la reussite .
you re faithful .,vous etes fidele .
you re extroverted .,tu es extravertie .
you re working hard .,tu travailles dur .
i m here to protect you .,je suis la pour te proteger .
he is painting a picture .,il est en train de peindre un tableau .
i m a member of the team .,je suis membre de l equipe .
i am not wearing any underwear .,je ne porte aucun sous vetement .
he s started writing a novel .,il a commence a ecrire un roman .
he is over kilos .,il fait plus de kilos .
i m starting to believe that .,je commence a le croire .
she is a nurse .,elle est infirmiere .
you re not sick .,tu n es pas malade .
he is always day dreaming .,il revasse toujours .
i m unbiased .,je suis impartial .
he is captain of the football team .,il est capitaine de l equipe de football .
